paramname;in;out;alternative;contextIdentifier
mittl_zeit_akt_1bis14min;yes;no;no;activity
mittl_zeit_akt_15bis29min;yes;no;no;activity
mittl_zeit_akt_30bis59min;yes;no;no;activity
mittl_zeit_akt_60bis119min;yes;no;no;activity
mittl_zeit_akt_120bis179min;yes;no;no;activity
mittl_zeit_akt_180bis239min;yes;no;no;activity
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
anzaktwieanztagemitzweck;yes;no;no;activity
aktzweck_work;yes;no;no;activity
aktzweck_education;yes;no;no;activity
aktzweck_shopping;yes;no;no;activity
aktzweck_transport;yes;no;no;activity
wochenzbudget_zweck_kat1;yes;no;no;activity
wochenzbudget_zweck_kat2;yes;no;no;activity
wochenzbudget_zweck_kat3;yes;no;no;activity
wochenzbudget_zweck_kat4;yes;no;no;activity
wochenzbudget_zweck_kat5;yes;no;no;activity
tourhat1akt;yes;no;no;tour
tourhat2akt;yes;no;no;tour
tourhat3akt;yes;no;no;tour
tourliegtvorhaupttour;yes;no;no;tour
tourliegtnachhaupttour;yes;no;no;tour
erstetourdestages;yes;no;no;tour
letztetourdestages;yes;no;no;tour
taghat1tour;yes;no;no;day
taghat2touren;yes;no;no;day
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler_azubi;yes;no;no;default
1;no;yes;yes;activity
2;no;yes;yes;activity
3;no;yes;yes;activity
4;no;yes;yes;activity
5;no;yes;yes;activity
6;no;yes;yes;activity
7;no;yes;yes;activity
8;no;yes;yes;activity
9;no;yes;yes;activity
10;no;yes;yes;activity
11;no;yes;yes;activity
12;no;yes;yes;activity
13;no;yes;yes;activity
14;no;yes;yes;activity
15;no;yes;yes;activity
